#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.67958    -6.67958           0
           2    -6.66811    -6.67385  0.00405534
           3    -6.64301    -6.66357  0.00881711
           4    -6.68499    -6.66892  0.00807698
           5    -6.66164    -6.66747  0.00659174
           6    -6.68528    -6.67044   0.0061252
           7    -6.65227    -6.66784  0.00577352
           8     -6.6621    -6.66712  0.00509616
           9    -6.65496    -6.66577  0.00470564
          10    -6.68355    -6.66755  0.00455848
