#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.81707     1.81707           0
           2     1.75809     1.78758   0.0208508
           3     1.75869     1.77795   0.0159694
           4     1.74432     1.76954   0.0140163
           5     1.74232      1.7641   0.0122246
           6     1.83332     1.77564   0.0146519
           7     1.85099      1.7864   0.0160332
           8     1.77981     1.78558   0.0140502
           9     1.74359     1.78091   0.0132411
          10     1.72471     1.77529   0.0130555
          11     1.80519     1.77801   0.0121482
          12     1.80125     1.77995   0.0112893
          13     1.78789     1.78056   0.0104374
          14      1.8302      1.7841   0.0102765
          15     1.80643     1.78559   0.0096986
          16     1.82861     1.78828  0.00945768
          17     1.79479     1.78866  0.00890909
          18     1.76728     1.78747  0.00849297
          19     1.78014     1.78709  0.00805473
          20     1.75451     1.78546  0.00781493
          21     1.76896     1.78467  0.00748216
          22     1.76632     1.78384  0.00718843
          23     1.72232     1.78117  0.00735671
          24     1.80111       1.782  0.00709695
          25     1.82779     1.78383  0.00704546
          26      1.7921     1.78415  0.00678166
          27      1.7935     1.78449  0.00653934
          28     1.73259     1.78264  0.00656329
          29     1.80412     1.78338  0.00637863
          30     1.75367     1.78239  0.00624241
          31     1.77246     1.78207  0.00604925
          32     1.79707     1.78254  0.00587836
          33     1.80303     1.78316  0.00573294
          34     1.80125     1.78369  0.00558895
          35     1.77413     1.78342  0.00543593
          36     1.71931     1.78164  0.00556903
          37     1.84365     1.78331  0.00566514
          38     1.82935     1.78452  0.00564412
          39     1.83465     1.78581  0.00564384
          40     1.76933      1.7854  0.00551775
