#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.21138     1.21138           0
           2     1.17206     1.19172   0.0139005
           3     1.17246      1.1853   0.0106463
           4     1.16288      1.1797  0.00934417
           5     1.16155     1.17607  0.00814971
           6     1.22221     1.18376   0.0097679
           7       1.234     1.19093   0.0106888
           8     1.18654     1.19038   0.0093668
           9     1.16239     1.18727  0.00882741
          10     1.14981     1.18353  0.00870363
          11     1.20346     1.18534  0.00809883
          12     1.20084     1.18663  0.00752618
          13     1.19193     1.18704  0.00695826
          14     1.22013      1.1894    0.006851
          15     1.20429     1.19039  0.00646573
          16     1.21907     1.19219  0.00630512
          17     1.19652     1.19244  0.00593939
          18     1.17819     1.19165  0.00566198
          19     1.18676     1.19139  0.00536982
          20     1.16968     1.19031  0.00520995
          21     1.17931     1.18978  0.00498811
          22     1.17755     1.18923  0.00479229
          23     1.14821     1.18744  0.00490448
          24     1.20074       1.188   0.0047313
          25     1.21852     1.18922  0.00469697
          26     1.19473     1.18943  0.00452111
          27     1.19567     1.18966  0.00435956
          28     1.15506     1.18843  0.00437552
          29     1.20275     1.18892  0.00425242
          30     1.16911     1.18826  0.00416161
          31     1.18164     1.18805  0.00403283
          32     1.19805     1.18836  0.00391891
          33     1.20202     1.18877  0.00382196
          34     1.20083     1.18913  0.00372597
          35     1.18276     1.18895  0.00362395
          36      1.1462     1.18776  0.00371268
          37      1.2291     1.18888  0.00377676
          38     1.21957     1.18968  0.00376275
          39      1.2231     1.19054  0.00376256
          40     1.17956     1.19027   0.0036785
