#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.65039     1.65039           0
           2     1.65725     1.65382   0.0024234
           3     1.64368     1.65044  0.00319725
           4     1.62309      1.6436  0.00638992
           5     1.64151     1.64319  0.00512559
           6     1.65942     1.64589  0.00493438
           7     1.66989     1.64932  0.00528756
           8     1.65598     1.65015   0.0046917
           9     1.63419     1.64838   0.0044932
          10     1.64689     1.64823  0.00404635
          11     1.66914     1.65013  0.00410065
          12     1.71587     1.65561  0.00645323
          13     1.64997     1.65518  0.00597137
          14     1.66233     1.65569  0.00556668
          15     1.65961     1.65595  0.00520169
          16     1.67803     1.65733  0.00505642
          17     1.64518     1.65661  0.00480919
          18     1.63922     1.65565  0.00463809
          19     1.63807     1.65472  0.00448531
          20     1.64235      1.6541  0.00430349
          21      1.6479     1.65381  0.00410869
          22     1.66006     1.65409  0.00393175
          23      1.5883     1.65123  0.00468715
          24     1.66823     1.65194  0.00454508
          25     1.66592      1.6525  0.00439755
          26     1.64356     1.65216  0.00424183
          27     1.64446     1.65187  0.00409429
          28     1.64371     1.65158  0.00395844
          29     1.66409     1.65201  0.00384536
          30     1.65624     1.65215  0.00371977
          31     1.69844     1.65364  0.00388799
          32     1.63701     1.65313  0.00380106
          33     1.62306     1.65221  0.00379347
          34     1.60992     1.65097  0.00388046
          35     1.63794      1.6506   0.0037874
          36     1.63282      1.6501  0.00371426
          37      1.6738     1.65074  0.00366867
          38     1.65234     1.65079  0.00357236
          39     1.64402     1.65061  0.00348497
          40     1.59999     1.64935  0.00362034
