#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.23902     2.23902           0
           2     2.01575     2.12739   0.0789376
           3     2.25874     2.17117   0.0636195
           4     2.20552     2.17976   0.0482906
           5     2.22507     2.18882   0.0394738
           6     2.14269     2.18113   0.0336352
           7     2.03064     2.15963   0.0350333
           8     2.15418     2.15895   0.0306608
           9     2.14324     2.15721   0.0273037
          10     2.23306     2.16479   0.0256052
          11     2.14163     2.16269   0.0233639
          12     1.98388     2.14779   0.0257333
          13     2.16236     2.14891   0.0237783
          14      2.1596     2.14967   0.0220921
          15      2.0767     2.14481   0.0211481
          16     2.13514      2.1442    0.019835
          17     2.30009     2.15337   0.0206795
          18     2.26085     2.15934   0.0203745
          19     2.26634     2.16497   0.0200653
          20     2.17325     2.16539   0.0190663
          21     2.22955     2.16844   0.0184015
          22      2.2294     2.17121   0.0177724
          23     2.64584     2.19185   0.0263877
          24     1.99966     2.18384   0.0264755
          25     1.97353     2.17543   0.0267196
          26     2.18537     2.17581   0.0256946
          27     2.36292     2.18274   0.0256604
          28     2.15215     2.18165   0.0247672
          29     2.12992     2.17987   0.0239774
          30     2.02133     2.17458   0.0237533
          31     2.03803     2.17018   0.0233919
          32     2.09356     2.16778   0.0227831
          33     2.24433      2.1701   0.0222105
          34     2.32539     2.17467   0.0220218
          35     2.36564     2.18012   0.0220582
          36     2.23577     2.18167   0.0214995
          37     2.03024     2.17758   0.0213045
          38     2.19152     2.17794    0.020747
          39     2.15154     2.17727    0.020226
          40      2.4109     2.18311   0.0205464
