#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.22257     1.22257           0
           2     1.20984      1.2162  0.00450162
           3     1.22918     1.22053  0.00463455
           4     1.22077     1.22059   0.0034763
           5     1.21171     1.21881  0.00320235
           6     1.22964     1.22062  0.00313587
           7     1.20316     1.21812  0.00354311
           8     1.22234     1.21865  0.00313917
           9     1.21925     1.21872  0.00279107
          10     1.21652      1.2185  0.00252056
          11     1.21951     1.21859  0.00229309
          12      1.2235       1.219  0.00213815
          13     1.21544     1.21872  0.00199116
          14     1.22705     1.21932  0.00193566
          15     1.21683     1.21915  0.00181371
          16     1.21451     1.21886  0.00172344
          17     1.22035     1.21895   0.0016243
          18     1.22726     1.21941  0.00159838
          19     1.22473     1.21969  0.00153856
          20      1.2235     1.21988  0.00147336
          21     1.22151     1.21996  0.00140524
          22     1.21938     1.21993  0.00134161
          23     1.22815     1.22029  0.00132995
          24     1.21668     1.22014  0.00128301
          25     1.23112     1.22058  0.00130469
          26     1.21807     1.22048  0.00125807
          27     1.22157     1.22052  0.00121212
          28     1.22255     1.22059  0.00117099
          29     1.22606     1.22078  0.00114569
          30     1.21274     1.22052  0.00113841
          31     1.21447     1.22032  0.00111825
          32     1.22152     1.22036  0.00108393
          33     1.21168     1.22009  0.00108254
          34     1.22522     1.22025  0.00106113
          35     1.21027     1.21996  0.00106839
          36     1.21424      1.2198  0.00105046
          37     1.21665     1.21972  0.00102553
          38     1.22432     1.21984  0.00100568
          39      1.2104      1.2196  0.00100859
          40     1.22003     1.21961 0.000983431
