#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.64447    -6.64447           0
           2    -6.63273     -6.6386  0.00415235
           3    -6.65166    -6.64295  0.00450485
           4    -6.64423    -6.64327  0.00338984
           5    -6.63234    -6.64109  0.00334366
           6    -6.65136     -6.6428   0.0031952
           7    -6.62387     -6.6401  0.00371053
           8    -6.64457    -6.64065  0.00328866
           9    -6.64178    -6.64078  0.00292561
          10    -6.63988    -6.64069  0.00263444
          11    -6.64284    -6.64088  0.00240216
          12    -6.64524    -6.64125   0.0022292
          13    -6.63824    -6.64102  0.00206965
          14    -6.65023    -6.64167  0.00202369
          15    -6.63801    -6.64143  0.00190347
          16     -6.6357    -6.64107  0.00181791
          17    -6.64144    -6.64109   0.0017111
          18    -6.64856    -6.64151  0.00166556
          19    -6.64816    -6.64186  0.00161432
          20    -6.64727    -6.64213  0.00155611
          21    -6.64424    -6.64223  0.00148524
          22    -6.64231    -6.64223  0.00141773
          23    -6.65135    -6.64263  0.00141044
          24    -6.64006    -6.64252  0.00135573
          25    -6.65449      -6.643  0.00138349
          26    -6.64198    -6.64296  0.00133083
          27    -6.64374    -6.64299  0.00128186
          28    -6.64607     -6.6431  0.00124079
          29    -6.64828    -6.64328   0.0012108
          30    -6.63426    -6.64298  0.00120716
          31    -6.63747     -6.6428  0.00118123
          32    -6.64414    -6.64284  0.00114505
          33     -6.6342    -6.64258  0.00113995
          34    -6.64687    -6.64271  0.00111339
          35    -6.63303    -6.64243  0.00111535
          36    -6.63725    -6.64229  0.00109362
          37    -6.63895     -6.6422  0.00106778
          38    -6.64606     -6.6423   0.0010445
          39    -6.63398    -6.64208  0.00103929
          40    -6.64353    -6.64212  0.00101393
