#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.42191    -5.42191           0
           2    -5.42289     -5.4224 0.000349269
           3    -5.42248    -5.42243  0.00023391
           4    -5.42346    -5.42269 0.000284153
           5    -5.42063    -5.42227  0.00043275
           6    -5.42173    -5.42218 0.000370071
           7    -5.42071    -5.42197 0.000372362
           8    -5.42223      -5.422 0.000327248
           9    -5.42253    -5.42206 0.000296062
          10    -5.42335    -5.42219 0.000293185
          11    -5.42333     -5.4223 0.000284142
          12    -5.42174    -5.42225  0.00026419
          13    -5.42281    -5.42229 0.000247354
          14    -5.42318    -5.42236 0.000237665
          15    -5.42118    -5.42228 0.000234416
          16    -5.42119    -5.42221 0.000229384
          17    -5.42109    -5.42214 0.000225191
          18     -5.4213     -5.4221 0.000217549
          19    -5.42344    -5.42217 0.000217219
          20    -5.42377    -5.42225 0.000220666
          21    -5.42273    -5.42227 0.000211336
          22    -5.42293     -5.4223  0.00020385
          23    -5.42321    -5.42234 0.000198754
          24    -5.42338    -5.42238 0.000195119
          25    -5.42337    -5.42242 0.000191308
          26    -5.42391    -5.42248 0.000192364
          27    -5.42217    -5.42247 0.000185578
          28    -5.42352    -5.42251 0.000182737
          29    -5.42222     -5.4225 0.000176702
          30    -5.42152    -5.42246  0.00017378
          31      -5.423    -5.42248 0.000169023
          32    -5.42262    -5.42248 0.000163796
          33    -5.42252    -5.42249 0.000158835
          34    -5.42166    -5.42246 0.000156019
          35    -5.42276    -5.42247   0.0001518
          36      -5.423    -5.42248 0.000148307
          37     -5.4223    -5.42248 0.000144381
          38    -5.42173    -5.42246 0.000141912
          39    -5.42358    -5.42249 0.000141131
          40     -5.4235    -5.42251 0.000139843
