#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.025096    0.025096           0
           2     0.01264    0.018868  0.00440386
           3    0.030256    0.022664  0.00426919
           4    0.038072    0.026516  0.00462391
           5     0.03712   0.0286368  0.00415714
           6    0.050152   0.0322227  0.00476619
           7    0.029216   0.0317931  0.00410462
           8    0.031848      0.0318  0.00359155
           9    0.007064   0.0290516  0.00411176
          10    0.017752   0.0279216  0.00385272
          11    0.019544     0.02716  0.00357696
          12    0.030656   0.0274513  0.00329072
          13    0.037264   0.0282062  0.00312296
          14    0.024312    0.027928  0.00291225
          15     0.02352   0.0276341  0.00273289
          16     0.02136    0.027242  0.00259006
          17     0.02164   0.0269125  0.00245858
          18    0.023968   0.0267489  0.00232743
          19    0.007128   0.0257162  0.00242322
          20    0.023808   0.0256208  0.00230394
