#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1       9.848       9.848           0
           2     10.2722     10.0601    0.149966
           3     10.0006     10.0403    0.101278
           4     10.0156     10.0341   0.0761457
           5     9.88307     10.0039   0.0666395
           6     10.1926     10.0353   0.0625125
           7     9.93158     10.0205   0.0553117
           8     10.0542     10.0247   0.0485575
           9      10.075     10.0303   0.0434827
          10     10.1032     10.0376   0.0397409
          11      10.046     10.0384   0.0361355
          12     9.27504     9.97476   0.0693282
          13     9.74857     9.95736   0.0661425
          14     9.42367     9.91924   0.0715649
          15     9.62514     9.89963   0.0694279
          16     9.88562     9.89876   0.0650942
          17     9.83433     9.89497   0.0613753
          18     9.67722     9.88287   0.0591457
          19     9.80204     9.87862   0.0561856
          20     9.48747     9.85906   0.0566779
