#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     67.3872     67.3872           0
           2      64.878     66.1326    0.887136
           3      68.644     66.9697    0.903868
           4     69.0648     67.4935    0.815658
           5     66.3404     67.2629    0.684353
           6     69.5752     67.6483    0.670078
           7     65.9064     67.3994    0.618834
           8     66.9928     67.3486    0.543563
           9     69.0984      67.543    0.516769
          10      65.624     67.3511    0.499455
          11     70.1756     67.6079    0.515847
          12     64.5132       67.35    0.533444
          13     64.9264     67.1636    0.523975
          14       70.88      67.429    0.549695
          15      64.504      67.234    0.546543
          16     66.5224     67.1896    0.514191
          17      65.994     67.1192     0.48873
          18     63.0616     66.8938    0.510928
          19     70.9196     67.1057     0.52614
          20      65.508     67.0258    0.505861
