#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.459952   -0.459952           0
           2   -0.464496   -0.462224  0.00160655
           3   -0.460496   -0.461648  0.00116974
           4     -0.4632   -0.462036 0.000939453
           5   -0.460464   -0.461722 0.000802449
           6   -0.460624   -0.461539 0.000689243
           7   -0.454512   -0.460535  0.00110123
           8   -0.461888   -0.460704 0.000976479
           9   -0.460528   -0.460684 0.000868177
          10   -0.458624   -0.460478 0.000805439
          11   -0.466688   -0.461043 0.000908759
          12    -0.46232   -0.461149 0.000839237
          13   -0.461888   -0.461206 0.000776602
          14   -0.463904   -0.461399 0.000744655
          15    -0.46032   -0.461327 0.000698476
          16    -0.46288   -0.461424 0.000661532
          17   -0.459664    -0.46132 0.000630667
          18   -0.464592   -0.461502 0.000621268
          19    -0.46536   -0.461705 0.000620862
          20   -0.463424   -0.461791 0.000595737
