#   N_BLOCK:  ACCEPTANCE:
           1    0.532966
           2     0.53394
           3    0.534342
           4    0.534199
           5     0.53411
           6    0.534157
           7    0.533926
           8    0.533981
           9    0.533934
          10    0.533976
          11    0.533855
          12    0.533734
          13    0.533719
          14    0.533737
          15    0.533731
          16    0.533714
          17    0.533591
          18    0.533716
          19    0.533637
          20    0.533623
