#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.023012    0.023012           0
           2    0.025588      0.0243 0.000910754
           3    0.029428   0.0260093  0.00152202
           4    0.019124    0.024288  0.00187758
           5    0.021844   0.0237992  0.00156439
           6    0.031396   0.0250653  0.00174225
           7    0.031468     0.02598  0.00171675
           8      0.0358   0.0272075  0.00189073
           9    0.036712   0.0282636  0.00195344
          10     0.03122   0.0285592  0.00178033
          11    0.033652   0.0290222   0.0016776
          12    0.028868   0.0290093  0.00153785
          13    0.022776   0.0285298  0.00149243
          14    0.028072   0.0284971  0.00138619
          15    0.028664   0.0285083  0.00129382
          16    0.032612   0.0287647  0.00123812
          17    0.025536   0.0285748  0.00117977
          18    0.027188   0.0284978  0.00111674
          19    0.025252   0.0283269  0.00107095
          20    0.023016   0.0280614  0.00104981
