#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     10.0855     10.0855           0
           2     10.2632     10.1743   0.0628149
           3     10.1395     10.1627   0.0429386
           4     9.75198       10.06    0.094577
           5     10.3914     10.1263   0.0961199
           6     10.1479     10.1299   0.0801673
           7      9.8583     10.0911   0.0775384
           8     9.72764     10.0457   0.0800578
           9     10.0997     10.0517   0.0713876
          10     9.75246     10.0218   0.0702404
          11     10.1982     10.0378   0.0656609
          12     9.77227     10.0157   0.0638087
          13     9.61308      9.9847   0.0659888
          14     9.65598     9.96122   0.0653192
          15     9.91663     9.95825   0.0610322
          16     9.69519     9.94181   0.0593909
          17     9.78809     9.93277   0.0565816
          18      9.8988     9.93088   0.0534696
          19     9.88182      9.9283   0.0507177
          20     9.71945     9.91786   0.0492451
          21     9.78233      9.9114    0.047321
          22     10.0143     9.91608   0.0454006
          23     9.66715     9.90526    0.044698
          24     9.56219     9.89096   0.0450634
          25     9.66703       9.882   0.0441421
          26     10.0576     9.88876   0.0429579
          27     9.79964     9.88546   0.0414934
          28     9.82604     9.88334   0.0400658
          29     9.93992     9.88529   0.0387317
          30     10.0205     9.88979   0.0377019
