#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     67.0364     67.0364           0
           2     69.6828     68.3596    0.935644
           3     67.3856     68.0349    0.677755
           4     69.9696     68.5186    0.658662
           5     71.7748     69.1698    0.785459
           6     66.6908     68.7567    0.755443
           7     65.2284     68.2526    0.798152
           8     65.1016     67.8587    0.789612
           9     65.9384     67.6454    0.730137
          10     68.5508     67.7359    0.662714
          11     65.4168     67.5251    0.635118
          12     68.6492     67.6188    0.589059
          13     67.6704     67.6227     0.54376
          14     66.8828     67.5699    0.507482
          15     68.5716     67.6367    0.478024
          16     69.4752     67.7516    0.461752
          17     66.6556     67.6871    0.439067
          18     67.3548     67.6686    0.415063
          19     70.5348     67.8195    0.419736
          20     66.4656     67.7518    0.404171
          21     64.3708     67.5908    0.415757
          22     68.2852     67.6224    0.398055
          23     65.7492     67.5409    0.388991
          24     64.2324     67.4031    0.396458
          25     64.4508      67.285    0.397799
          26     68.9136     67.3476    0.387399
          27     66.2656     67.3075    0.375118
          28     71.1516     67.4448    0.386027
          29     72.3036     67.6124    0.407456
          30     71.9792     67.7579    0.419068
