#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.4628     -0.4628           0
           2   -0.459168   -0.460984  0.00128411
           3   -0.463696   -0.461888  0.00113034
           4   -0.464736     -0.4626  0.00104828
           5    -0.46304   -0.462688 0.000842311
           6   -0.460368   -0.462301  0.00078568
           7   -0.459104   -0.461845 0.000795203
           8   -0.456912   -0.461228  0.00090376
           9   -0.461024   -0.461205 0.000803626
          10   -0.458912   -0.460976 0.000755278
          11   -0.462464   -0.461111 0.000698625
          12   -0.463424   -0.461304  0.00066646
          13    -0.46184   -0.461345 0.000616468
          14    -0.46384   -0.461523 0.000597635
          15   -0.460528   -0.461457 0.000561465
          16   -0.462656   -0.461532  0.00053135
          17   -0.465472   -0.461764 0.000548315
          18     -0.4648   -0.461932  0.00054318
          19   -0.460544   -0.461859 0.000519484
          20   -0.462448   -0.461889 0.000494342
          21   -0.460336   -0.461815   0.0004763
          22   -0.462688   -0.461855 0.000456301
          23   -0.460272   -0.461786 0.000441619
          24   -0.463712   -0.461866  0.00043045
          25   -0.460528   -0.461812 0.000416546
          26     -0.4656   -0.461958 0.000425235
          27   -0.466688   -0.462133 0.000444105
          28    -0.46264   -0.462151 0.000428613
          29   -0.464944   -0.462248 0.000424513
          30   -0.465232   -0.462347 0.000421856
