#   N_BLOCK:  ACCEPTANCE:
           1     0.78833
           2    0.787853
           3     0.78838
           4    0.788272
           5     0.78793
           6     0.78881
           7    0.788925
           8    0.788882
           9    0.788192
          10    0.787856
          11    0.787996
          12     0.78819
          13    0.787607
          14    0.787499
          15    0.787623
          16    0.787738
          17    0.787538
          18    0.787738
          19    0.787626
          20    0.787533
          21    0.787499
          22     0.78743
          23    0.787556
          24    0.787521
          25    0.787603
          26    0.787193
          27     0.78699
          28    0.786917
          29     0.78715
          30    0.787469
          31    0.787384
          32    0.787087
          33    0.787242
          34    0.787418
          35    0.787443
          36    0.787304
          37    0.787363
          38     0.78727
          39    0.787187
          40    0.787204
          41    0.787209
          42    0.787403
          43    0.787422
          44    0.787272
          45    0.787454
          46    0.787574
          47    0.787509
          48    0.787443
          49    0.787298
          50    0.787358
