#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.425689   -0.425689           0
           2   -0.424553   -0.425121 0.000401757
           3   -0.398068   -0.416103  0.00736783
           4   -0.431357   -0.419917  0.00643753
           5   -0.429091   -0.421752  0.00540522
           6   -0.386079   -0.415806  0.00705304
           7    -0.41412   -0.415565  0.00604958
           8   -0.406878   -0.414479  0.00538997
           9    -0.44361   -0.417716   0.0056804
          10   -0.428393   -0.418784  0.00521174
          11   -0.394213    -0.41655  0.00519461
          12   -0.402245   -0.415358  0.00489661
          13   -0.442054   -0.417412  0.00493178
          14   -0.420734   -0.417649  0.00458522
          15    -0.40491     -0.4168  0.00435747
          16   -0.419339   -0.416958  0.00408802
          17   -0.429932   -0.417721  0.00391813
          18   -0.389627   -0.416161  0.00399928
          19   -0.417693   -0.416241   0.0037896
          20   -0.433985   -0.417128  0.00370252
          21   -0.410857    -0.41683  0.00353823
          22   -0.418073   -0.416886  0.00337785
          23   -0.407843   -0.416493  0.00325379
          24   -0.416249   -0.416483  0.00311823
          25   -0.410219   -0.416232  0.00300355
          26   -0.441897   -0.417219  0.00304592
          27   -0.427923   -0.417616  0.00295879
          28   -0.427336   -0.417963  0.00287341
          29   -0.397895   -0.417271  0.00285644
          30   -0.387507   -0.416279  0.00292847
          31   -0.425317    -0.41657  0.00284848
          32   -0.450679   -0.417636  0.00295216
          33    -0.40703   -0.417315  0.00288014
          34   -0.392585   -0.416588  0.00288581
          35   -0.415366   -0.416553  0.00280357
          36   -0.426782   -0.416837  0.00274006
          37     -0.4116   -0.416695  0.00266965
          38   -0.424127   -0.416891  0.00260655
          39   -0.416818   -0.416889  0.00253972
          40   -0.405466   -0.416603  0.00249223
          41   -0.407779   -0.416388  0.00244072
          42   -0.385158   -0.415645   0.0024933
          43   -0.401134   -0.415307  0.00245805
          44   -0.429877   -0.415638  0.00242439
          45   -0.386222   -0.414985  0.00245706
          46   -0.393013   -0.414507  0.00244963
          47   -0.425116   -0.414733  0.00240789
          48   -0.424465   -0.414935  0.00236625
          49   -0.436783   -0.415381  0.00235959
          50   -0.410693   -0.415288  0.00231426
