#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0481854   0.0481854           0
           2   0.0471804   0.0476829  0.00035533
           3   0.0486288   0.0479982 0.000349851
           4   0.0485489   0.0481359 0.000288208
           5   0.0488672   0.0482821 0.000265094
           6   0.0474976   0.0481514 0.000251095
           7   0.0505932   0.0485002 0.000388101
           8   0.0508696   0.0487964 0.000438263
           9   0.0481189   0.0487211  0.00039598
          10   0.0497186   0.0488209 0.000368731
          11   0.0497483   0.0489052 0.000344715
          12   0.0506616   0.0490515 0.000345669
          13    0.048381       0.049 0.000322905
          14    0.047609   0.0489006 0.000314754
          15   0.0511805   0.0490526 0.000328424
          16   0.0480449   0.0489896 0.000313878
          17   0.0476519   0.0489109 0.000305119
          18   0.0455187   0.0487225 0.000341444
          19   0.0494267   0.0487595 0.000325479
          20   0.0449125   0.0485672 0.000361603
          21   0.0478058   0.0485309 0.000346197
          22   0.0483317   0.0485219 0.000330579
          23   0.0496118   0.0485693 0.000319584
          24   0.0471853   0.0485116 0.000311428
          25   0.0483537   0.0485053 0.000299035
          26   0.0488869     0.04852 0.000287893
          27   0.0496326   0.0485612 0.000280164
          28   0.0491832   0.0485834 0.000271038
          29   0.0508416   0.0486613 0.000272648
          30    0.050686   0.0487287 0.000271785
          31    0.049182   0.0487434  0.00026341
          32   0.0489246    0.048749  0.00025524
          33   0.0475807   0.0487136 0.000249949
          34   0.0499489     0.04875 0.000245224
          35   0.0485657   0.0487447 0.000238274
          36   0.0482116   0.0487299 0.000232115
          37     0.05064   0.0487815 0.000231511
          38   0.0476357   0.0487514 0.000227374
          39   0.0495081   0.0487708  0.00022237
          40   0.0480934   0.0487538 0.000217455
