#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.37431     1.37431           0
           2     1.37545     1.37488 0.000401757
           3     1.40193      1.3839  0.00736783
           4     1.36864     1.38008  0.00643753
           5     1.37091     1.37825  0.00540522
           6     1.41392     1.38419  0.00705304
           7     1.38588     1.38443  0.00604958
           8     1.39312     1.38552  0.00538997
           9     1.35639     1.38228   0.0056804
          10     1.37161     1.38122  0.00521174
          11     1.40579     1.38345  0.00519461
          12     1.39776     1.38464  0.00489661
          13     1.35795     1.38259  0.00493178
          14     1.37927     1.38235  0.00458522
          15     1.39509      1.3832  0.00435747
          16     1.38066     1.38304  0.00408802
          17     1.37007     1.38228  0.00391813
          18     1.41037     1.38384  0.00399928
          19     1.38231     1.38376   0.0037896
          20     1.36601     1.38287  0.00370252
          21     1.38914     1.38317  0.00353823
          22     1.38193     1.38311  0.00337785
          23     1.39216     1.38351  0.00325379
          24     1.38375     1.38352  0.00311823
          25     1.38978     1.38377  0.00300355
          26      1.3581     1.38278  0.00304592
          27     1.37208     1.38238  0.00295879
          28     1.37266     1.38204  0.00287341
          29      1.4021     1.38273  0.00285644
          30     1.41249     1.38372  0.00292847
          31     1.37468     1.38343  0.00284848
          32     1.34932     1.38236  0.00295216
          33     1.39297     1.38269  0.00288014
          34     1.40741     1.38341  0.00288581
          35     1.38463     1.38345  0.00280357
          36     1.37322     1.38316  0.00274006
          37      1.3884      1.3833  0.00266965
          38     1.37587     1.38311  0.00260655
          39     1.38318     1.38311  0.00253972
          40     1.39453      1.3834  0.00249223
          41     1.39222     1.38361  0.00244072
          42     1.41484     1.38436   0.0024933
          43     1.39887     1.38469  0.00245805
          44     1.37012     1.38436  0.00242439
          45     1.41378     1.38502  0.00245706
          46     1.40699     1.38549  0.00244963
          47     1.37488     1.38527  0.00240789
          48     1.37553     1.38506  0.00236625
          49     1.36322     1.38462  0.00235959
          50     1.38931     1.38471  0.00231426
