#   N_BLOCK:  ACCEPTANCE:
           1    0.509693
           2    0.509767
           3    0.509833
           4    0.509798
           5    0.509775
           6    0.510113
           7    0.510172
           8    0.510668
           9    0.510615
          10     0.51048
          11     0.51045
          12    0.510518
          13     0.51056
          14    0.510597
          15    0.510661
          16    0.510641
          17    0.510468
          18    0.510484
          19    0.510783
          20    0.510845
          21    0.510957
          22    0.510918
          23    0.510707
          24    0.510594
          25    0.510428
          26    0.510423
          27    0.510418
          28    0.510401
          29    0.510385
          30    0.510257
          31    0.510141
          32    0.510222
          33    0.510128
          34    0.510165
          35     0.51026
          36    0.510269
          37    0.510254
          38    0.510244
          39    0.510124
          40    0.510126
          41    0.510045
          42    0.510092
          43    0.510051
          44    0.510076
          45    0.510247
          46    0.510207
          47    0.510144
          48    0.510192
          49    0.510241
          50    0.510278
