#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45691    -5.45691           0
           2    -5.49744    -5.47717   0.0143274
           3    -5.44429    -5.46621    0.013089
           4    -5.45783    -5.46412  0.00998313
           5    -5.45405     -5.4621  0.00818716
           6    -5.48583    -5.46606  0.00771854
           7    -5.47133    -5.46681  0.00665252
           8    -5.51216    -5.47248  0.00787408
           9     -5.4727     -5.4725  0.00699922
          10    -5.44988    -5.47024  0.00665486
          11    -5.44407    -5.46786  0.00646131
          12    -5.50173    -5.47068  0.00651005
          13     -5.4831    -5.47164  0.00607899
          14    -5.46392    -5.47109  0.00566973
          15    -5.48247    -5.47185  0.00534228
          16    -5.46365    -5.47133  0.00503289
          17    -5.41773    -5.46818  0.00563884
          18    -5.46886    -5.46822  0.00532569
          19    -5.51297    -5.47057  0.00554179
          20    -5.48249    -5.47117  0.00529665
          21    -5.50235    -5.47265  0.00524837
          22     -5.4946    -5.47365  0.00510371
          23    -5.43184    -5.47183  0.00519545
          24    -5.44703     -5.4708  0.00508071
          25    -5.43899    -5.46953  0.00503428
          26    -5.48405    -5.47009  0.00487154
          27    -5.48208    -5.47053  0.00471133
          28    -5.47074    -5.47054  0.00454308
          29    -5.46624    -5.47039  0.00438884
          30    -5.41524    -5.46855  0.00461148
          31    -5.43933    -5.46761  0.00455803
          32     -5.4796    -5.46798  0.00443098
          33    -5.42253    -5.46661  0.00450572
          34    -5.48453    -5.46713  0.00440392
          35    -5.48709     -5.4677  0.00431484
          36    -5.46433    -5.46761  0.00419601
          37    -5.45753    -5.46734  0.00409144
          38     -5.4708    -5.46743  0.00398478
          39    -5.45007    -5.46698  0.00390739
          40    -5.46395    -5.46691  0.00381044
          41    -5.44882    -5.46647  0.00374296
          42    -5.49659    -5.46718  0.00372191
          43    -5.44207     -5.4666   0.0036809
          44    -5.45182    -5.46626  0.00361254
          45    -5.47855    -5.46654  0.00354256
          46     -5.4529    -5.46624  0.00347793
          47    -5.42492    -5.46536  0.00351328
          48    -5.49529    -5.46598  0.00349497
          49    -5.47435    -5.46616  0.00342781
          50    -5.48409    -5.46651  0.00337798
