#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2         1.1         1.1           0
           3         1.1         1.1           0
           4         1.1         1.1           0
           5         1.1         1.1           0
           6         1.1         1.1 8.60319e-09
           7         1.1         1.1 7.96501e-09
           8         1.1         1.1 7.45058e-09
           9         1.1         1.1 7.02447e-09
          10         1.1         1.1 4.71216e-09
          11         1.1         1.1 4.49287e-09
          12         1.1         1.1 4.30159e-09
          13         1.1         1.1 4.13284e-09
          14         1.1         1.1  3.9825e-09
          15         1.1         1.1 3.84746e-09
          16         1.1         1.1 3.72529e-09
          17         1.1         1.1 3.61406e-09
          18         1.1         1.1 3.51224e-09
          19         1.1         1.1 3.41856e-09
          20         1.1         1.1   3.332e-09
          21         1.1         1.1  6.5034e-09
          22         1.1         1.1 7.10385e-09
          23         1.1         1.1  6.9477e-09
          24         1.1         1.1 6.80142e-09
          25         1.1         1.1 7.88495e-09
          26         1.1         1.1 7.73183e-09
          27         1.1         1.1  7.5873e-09
          28         1.1         1.1 7.45058e-09
          29         1.1         1.1   7.321e-09
          30         1.1         1.1 7.19794e-09
          31         1.1         1.1  7.0809e-09
          32         1.1         1.1 6.96938e-09
          33         1.1         1.1 6.86297e-09
          34         1.1         1.1 6.76129e-09
          35         1.1         1.1   6.664e-09
          36         1.1         1.1 6.57079e-09
          37         1.1         1.1 7.34921e-09
          38         1.1         1.1 7.25186e-09
          39         1.1         1.1 7.15829e-09
          40         1.1         1.1 7.06824e-09
          41         1.1         1.1 6.98151e-09
          42         1.1         1.1  6.8979e-09
          43         1.1         1.1 6.81722e-09
          44         1.1         1.1  6.7393e-09
          45         1.1         1.1   6.664e-09
          46         1.1         1.1 6.59117e-09
          47         1.1         1.1 6.52067e-09
          48         1.1         1.1 6.45239e-09
          49         1.1         1.1 6.38621e-09
          50         1.1         1.1 6.32203e-09
