#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.80691    -3.80691           0
           2    -3.84744    -3.82717   0.0143274
           3    -3.79429    -3.81621    0.013089
           4    -3.80783    -3.81412  0.00998313
           5    -3.80405     -3.8121  0.00818716
           6    -3.83583    -3.81606  0.00771854
           7    -3.82133    -3.81681  0.00665252
           8    -3.86216    -3.82248  0.00787408
           9     -3.8227     -3.8225  0.00699922
          10    -3.79988    -3.82024  0.00665486
          11    -3.79407    -3.81786  0.00646131
          12    -3.85173    -3.82068  0.00651005
          13     -3.8331    -3.82164  0.00607899
          14    -3.81392    -3.82109  0.00566973
          15    -3.83247    -3.82185  0.00534228
          16    -3.81365    -3.82133  0.00503289
          17    -3.76773    -3.81818  0.00563884
          18    -3.81886    -3.81822  0.00532569
          19    -3.86297    -3.82057  0.00554179
          20    -3.83249    -3.82117  0.00529665
          21    -3.85235    -3.82265  0.00524837
          22     -3.8446    -3.82365  0.00510371
          23    -3.78184    -3.82183  0.00519545
          24    -3.79703     -3.8208  0.00508071
          25    -3.78899    -3.81953  0.00503428
          26    -3.83405    -3.82009  0.00487154
          27    -3.83208    -3.82053  0.00471133
          28    -3.82074    -3.82054  0.00454308
          29    -3.81624    -3.82039  0.00438884
          30    -3.76524    -3.81855  0.00461148
          31    -3.78933    -3.81761  0.00455803
          32     -3.8296    -3.81798  0.00443098
          33    -3.77253    -3.81661  0.00450572
          34    -3.83453    -3.81713  0.00440392
          35    -3.83709     -3.8177  0.00431484
          36    -3.81433    -3.81761  0.00419601
          37    -3.80753    -3.81734  0.00409144
          38     -3.8208    -3.81743  0.00398478
          39    -3.80007    -3.81698  0.00390739
          40    -3.81395    -3.81691  0.00381044
          41    -3.79882    -3.81647  0.00374296
          42    -3.84659    -3.81718  0.00372191
          43    -3.79207     -3.8166   0.0036809
          44    -3.80182    -3.81626  0.00361254
          45    -3.82855    -3.81654  0.00354256
          46     -3.8029    -3.81624  0.00347793
          47    -3.77492    -3.81536  0.00351328
          48    -3.84529    -3.81598  0.00349497
          49    -3.82435    -3.81616  0.00342781
          50    -3.83409    -3.81651  0.00337798
