#   N_BLOCK:  ACCEPTANCE:
           1    0.509091
           2    0.509101
           3    0.508826
           4    0.508841
           5    0.508832
           6    0.509319
           7    0.509347
           8    0.509301
           9     0.50934
          10    0.509239
          11    0.509224
          12    0.509168
          13    0.509101
          14    0.509094
          15    0.509102
          16    0.509175
          17    0.509241
          18    0.509238
          19    0.509333
          20    0.509357
          21    0.509433
          22    0.509338
          23    0.509328
          24    0.509303
          25    0.509261
          26    0.509294
          27    0.509386
          28    0.509374
          29    0.509355
          30    0.509416
          31    0.509402
          32    0.509425
          33    0.509398
          34    0.509307
          35    0.509255
          36    0.509212
          37    0.509189
          38    0.509251
          39    0.509229
          40     0.50922
          41    0.509203
          42    0.509166
          43      0.5091
          44    0.509041
          45     0.50905
          46    0.509046
          47     0.50911
          48    0.509185
          49    0.509119
          50    0.509104
