#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.14522     9.14522           0
           2     8.98437      9.0648   0.0568673
           3     8.94808     9.02589   0.0494611
           4     9.22543     9.07578    0.056943
           5     9.12827     9.08627   0.0465121
           6     8.92336     9.05912   0.0460079
           7     9.03492     9.05566    0.039565
           8     8.91129     9.03762   0.0385159
           9      8.9067     9.02307   0.0368813
          10     8.97959     9.01872   0.0334484
          11     8.84184     9.00264   0.0340542
          12     8.98107     9.00084   0.0312637
          13     8.98192     8.99939   0.0288927
          14     9.19913     9.01366   0.0301463
          15     8.87539     9.00444   0.0295122
          16     8.95709     9.00148   0.0278157
          17     8.88843     8.99483   0.0269626
          18     9.02293     8.99639   0.0255099
          19     9.04138     8.99876   0.0242769
          20     9.18589     9.00811   0.0248006
          21     8.96733     9.00617   0.0236955
          22      9.1328     9.01193    0.023307
          23     8.95082     9.00927   0.0224446
          24     9.05294     9.01109   0.0215831
          25     8.94814     9.00857   0.0208661
          26     9.22155     9.01676   0.0216116
          27     9.05144     9.01805   0.0208493
          28     9.15384      9.0229    0.020661
          29     8.98752     9.02168   0.0199846
          30     8.88415     9.01709   0.0198373
          31     9.26821     9.02519   0.0207855
          32     9.00587     9.02459   0.0201447
          33     8.97239     9.02301   0.0195963
          34     8.96691     9.02136   0.0190893
          35     8.86894       9.017   0.0190341
          36     8.93669     9.01477   0.0186357
          37      8.9792     9.01381   0.0181568
          38     9.06238     9.01509   0.0177239
          39     9.09411     9.01712   0.0173849
          40     8.96542     9.01582   0.0169983
