#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         0.8         0.8           0
           2         0.8         0.8           0
           3         0.8         0.8           0
           4         0.8         0.8           0
           5         0.8         0.8 4.71216e-09
           6         0.8         0.8           0
           7         0.8         0.8           0
           8         0.8         0.8           0
           9         0.8         0.8           0
          10         0.8         0.8   3.332e-09
          11         0.8         0.8           0
          12         0.8         0.8           0
          13         0.8         0.8           0
          14         0.8         0.8           0
          15         0.8         0.8           0
          16         0.8         0.8           0
          17         0.8         0.8           0
          18         0.8         0.8           0
          19         0.8         0.8           0
          20         0.8         0.8 2.35608e-09
          21         0.8         0.8  2.2993e-09
          22         0.8         0.8 3.89094e-09
          23         0.8         0.8 3.80541e-09
          24         0.8         0.8 4.30159e-09
          25         0.8         0.8 3.65002e-09
          26         0.8         0.8 4.62065e-09
          27         0.8         0.8 4.05558e-09
          28         0.8         0.8 4.87755e-09
          29         0.8         0.8 4.37513e-09
          30         0.8         0.8 4.30159e-09
          31         0.8         0.8 4.23165e-09
          32         0.8         0.8   4.165e-09
          33         0.8         0.8 4.10141e-09
          34         0.8         0.8  4.4263e-09
          35         0.8         0.8 4.36261e-09
          36         0.8         0.8 4.30159e-09
          37         0.8         0.8 3.87337e-09
          38         0.8         0.8 3.82207e-09
          39         0.8         0.8 4.13284e-09
          40         0.8         0.8 3.72529e-09
          41         0.8         0.8 3.29112e-09
          42         0.8         0.8  3.2517e-09
          43         0.8         0.8 3.59299e-09
          44         0.8         0.8 3.55192e-09
          45         0.8         0.8 3.51224e-09
          46         0.8         0.8 3.10711e-09
          47         0.8         0.8 3.07387e-09
          48         0.8         0.8 3.04169e-09
          49         0.8         0.8 3.01049e-09
          50         0.8         0.8 3.65002e-09
