#STEP	#AVG	SIGMA
1	1	4.08085e-09
2	1.40353	0.0120999
3	1.72745	0.011208
4	1.99398	0.0151918
5	2.23126	0.0165683
6	2.42665	0.0163135
7	2.61941	0.0160745
8	2.7947	0.0149806
9	2.96087	0.0153547
10	3.11243	0.0228828
11	3.25584	0.0292506
12	3.40079	0.0286259
13	3.54447	0.0308503
14	3.69124	0.030547
15	3.81787	0.0358375
16	3.94832	0.0376583
17	4.07627	0.0441116
18	4.1984	0.044822
19	4.31567	0.0408559
20	4.45106	0.0443479
21	4.55534	0.0438958
22	4.66886	0.0462259
23	4.77134	0.0482
24	4.86408	0.0481123
25	4.95197	0.0512356
26	5.08232	0.048519
27	5.19479	0.0456532
28	5.2969	0.0434461
29	5.37037	0.0472923
30	5.45887	0.0452551
31	5.54543	0.0463806
32	5.63528	0.0457092
33	5.70789	0.0487817
34	5.80634	0.052561
35	5.89	0.053455
36	5.95703	0.0489963
37	6.03719	0.0513177
38	6.12102	0.0491504
39	6.19853	0.0449221
40	6.29223	0.0496409
41	6.39108	0.0469725
42	6.47212	0.0529166
43	6.54985	0.0481999
44	6.6365	0.0467152
45	6.7119	0.0474667
46	6.77957	0.0476078
47	6.85684	0.0505558
48	6.96367	0.0516171
49	7.03272	0.0500172
50	7.12581	0.0466788
51	7.17789	0.0473647
52	7.24774	0.0496693
53	7.32415	0.0508617
54	7.39789	0.0537105
55	7.47737	0.052091
56	7.52956	0.0534002
57	7.60878	0.0490795
58	7.68678	0.0509445
59	7.76935	0.0571009
60	7.8207	0.059039
61	7.89955	0.0591169
62	7.97369	0.0607421
63	8.052	0.0646833
64	8.08846	0.0688876
65	8.14126	0.0653902
66	8.20929	0.0645981
67	8.28178	0.0687324
68	8.31962	0.0680651
69	8.37751	0.0694525
70	8.43659	0.0732155
71	8.47764	0.072998
72	8.53565	0.0734724
73	8.59179	0.0735158
74	8.63666	0.0698527
75	8.6961	0.0701153
76	8.75055	0.0702407
77	8.8197	0.0676801
78	8.86235	0.0699639
79	8.9065	0.0731181
80	8.9643	0.0760639
81	9.01712	0.0741633
82	9.07463	0.0718957
83	9.14017	0.0702574
84	9.20987	0.071702
85	9.27547	0.0742509
86	9.32548	0.0783355
87	9.39424	0.0799065
88	9.44645	0.0765521
89	9.48102	0.075394
90	9.54552	0.0783182
91	9.59898	0.0766702
92	9.6451	0.0804321
93	9.70298	0.0760016
94	9.73494	0.07118
95	9.77343	0.0687496
96	9.83866	0.075421
97	9.89722	0.0796643
98	9.94744	0.0800653
99	9.99676	0.0793672
100	10.0597	0.0775853
