#STEP	#AVG	SIGMA
1	1	0
2	1.41747	0.00625885
3	1.73208	0.00974237
4	1.98355	0.0150593
5	2.22794	0.0162802
6	2.45351	0.0128059
7	2.66224	0.0179938
8	2.84071	0.0178816
9	2.99202	0.0232823
10	3.14363	0.0296796
11	3.30954	0.0331198
12	3.46262	0.0340983
13	3.60566	0.0382439
14	3.75295	0.0432095
15	3.87888	0.039532
16	4.00476	0.042363
17	4.14487	0.0387711
18	4.26983	0.0450403
19	4.40602	0.0458228
20	4.49516	0.0497649
21	4.61685	0.0508407
22	4.71192	0.0483682
23	4.81127	0.0483098
24	4.89588	0.0506915
25	4.99698	0.0490663
26	5.09108	0.0489515
27	5.17803	0.0500149
28	5.28024	0.0510083
29	5.36996	0.0531657
30	5.46568	0.0506532
31	5.54049	0.0533937
32	5.64992	0.0526451
33	5.73753	0.0537485
34	5.84357	0.05462
35	5.9054	0.0588534
36	5.99022	0.0530552
37	6.04787	0.0491467
38	6.13356	0.0511908
39	6.22145	0.0487687
40	6.30173	0.0506083
41	6.38386	0.0535356
42	6.46433	0.0531408
43	6.54538	0.0534058
44	6.6218	0.0590712
45	6.68656	0.0603554
46	6.74728	0.0575507
47	6.81609	0.0547152
48	6.88388	0.056222
49	6.93543	0.0573758
50	7.01676	0.0515464
51	7.09192	0.0498625
52	7.16556	0.0513645
53	7.24574	0.0575681
54	7.29472	0.0556832
55	7.37656	0.0571469
56	7.45512	0.0534717
57	7.54546	0.0556982
58	7.60074	0.0569296
59	7.65524	0.0566836
60	7.73543	0.0552959
61	7.80529	0.0580744
62	7.86513	0.0647231
63	7.92381	0.0580073
64	8.00587	0.0552448
65	8.07313	0.0585421
66	8.12304	0.0553117
67	8.18837	0.0550436
68	8.25565	0.0575826
69	8.31121	0.06274
70	8.37006	0.0663869
71	8.43865	0.0693686
72	8.51288	0.0651738
73	8.58214	0.065878
74	8.64305	0.0680753
75	8.69306	0.0662085
76	8.75253	0.0609154
77	8.82736	0.0577545
78	8.88155	0.0592169
79	8.91968	0.0588465
80	8.96573	0.0602544
81	9.03408	0.0580178
82	9.06326	0.0520992
83	9.13833	0.0556342
84	9.18225	0.0549039
85	9.22076	0.056382
86	9.24117	0.0582382
87	9.29518	0.0563646
88	9.34472	0.0566661
89	9.41198	0.0614606
90	9.4714	0.0627171
91	9.52782	0.0581674
92	9.57804	0.0600793
93	9.60051	0.0617227
94	9.68018	0.0637195
95	9.71314	0.0670454
96	9.77585	0.065882
97	9.8123	0.0688344
98	9.86445	0.0773071
99	9.91924	0.0750537
100	9.98788	0.0707816
