#BLOCK	#AVG	SIGMA
1	14.7204	0
2	14.8684	0.10465
3	14.887	0.0714071
4	14.8698	0.055584
5	14.9321	0.0712635
6	14.9122	0.062095
7	14.907	0.0534457
8	14.9041	0.0468434
9	14.9399	0.0536218
10	14.9584	0.0513651
11	14.9748	0.0492152
12	14.9601	0.0472589
13	14.9584	0.0436508
14	14.9423	0.0434129
15	14.9363	0.0409261
16	14.9563	0.0429463
17	14.9448	0.0419133
18	14.9225	0.0451313
19	14.9161	0.0432105
20	14.9174	0.0410675
21	14.9308	0.0412504
22	14.9384	0.0400734
23	14.9409	0.0384075
24	14.9334	0.037531
25	14.9414	0.0368762
26	14.9336	0.0362833
27	14.9413	0.0357601
28	14.9386	0.0345829
29	14.95	0.035212
30	14.9572	0.0347701
31	14.9537	0.0338277
32	14.9609	0.0335303
33	14.9457	0.0357945
34	14.9447	0.0347572
35	14.9548	0.035201
36	14.9468	0.0351092
37	14.9395	0.0349063
38	14.9442	0.0342981
39	14.9379	0.0339854
40	14.9397	0.0331795
41	14.9471	0.0332019
42	14.9441	0.0325533
43	14.9428	0.0318191
44	14.9556	0.033548
45	14.9414	0.0356614
46	14.9428	0.0349117
47	14.9443	0.0342031
48	14.9453	0.0335044
49	14.9463	0.0328366
50	14.9508	0.0324862
51	14.9538	0.0319799
52	14.9537	0.031365
53	14.952	0.0308176
54	14.9539	0.0303055
55	14.9551	0.0297774
56	14.9576	0.0293502
57	14.955	0.0289463
58	14.9563	0.0284746
59	14.9615	0.0284632
60	14.96	0.0280275
61	14.9591	0.0275827
62	14.9579	0.0271644
63	14.958	0.0267334
64	14.9628	0.0267406
65	14.9625	0.0263303
66	14.9593	0.0261253
67	14.9555	0.0260129
68	14.9524	0.0258168
69	14.9514	0.0254604
70	14.9445	0.0260154
71	14.9493	0.0260886
72	14.9543	0.0261963
73	14.955	0.0258478
74	14.9538	0.0255272
75	14.9556	0.0252517
76	14.9563	0.024929
77	14.9555	0.0246176
78	14.9582	0.0244427
79	14.9603	0.0242259
80	14.9605	0.0239238
81	14.9548	0.024291
82	14.9577	0.0241639
83	14.9557	0.0239574
84	14.9565	0.0236852
85	14.953	0.0236591
86	14.9533	0.0233863
87	14.9546	0.0231504
88	14.9582	0.0231745
89	14.9588	0.0229208
90	14.9596	0.0226806
91	14.9597	0.0224318
92	14.96	0.0221891
93	14.9628	0.0221271
94	14.9635	0.0219048
95	14.9664	0.0218592
96	14.9651	0.0216715
97	14.9646	0.0214521
98	14.9641	0.0212397
99	14.9687	0.0215216
100	14.9721	0.021571
