#BLOCK	#AVG	SIGMA
1	14.9855	0
2	14.9485	0.0261768
3	14.8823	0.0568521
4	14.8303	0.0620203
5	14.8992	0.0791792
6	14.9272	0.0707409
7	14.9434	0.062466
8	14.9603	0.0568934
9	14.9436	0.0529476
10	14.9578	0.0495148
11	14.9428	0.0472508
12	14.9446	0.0433482
13	14.9433	0.0400326
14	14.9408	0.0372526
15	14.9533	0.036826
16	14.958	0.0348195
17	14.9736	0.0361064
18	14.9708	0.0342142
19	14.9693	0.0324425
20	14.968	0.0308475
21	14.965	0.0295282
22	14.95	0.0317796
23	14.9563	0.0310306
24	14.9462	0.0313446
25	14.9475	0.0301174
26	14.957	0.0304206
27	14.9648	0.0302884
28	14.9659	0.0292237
29	14.9692	0.0284077
30	14.9835	0.0308473
31	14.9912	0.030806
32	14.9873	0.030099
33	14.9819	0.0296585
34	14.9878	0.0293693
35	14.989	0.0285539
36	14.9856	0.0279572
37	14.9866	0.0272171
38	14.9804	0.0271874
39	14.9799	0.0264945
40	14.9666	0.0290128
41	14.9663	0.0283069
42	14.9695	0.0278164
43	14.965	0.0275308
44	14.9681	0.027083
45	14.9658	0.0265796
46	14.9642	0.0260476
47	14.9651	0.0255089
48	14.9671	0.0250512
49	14.9657	0.0245783
50	14.9756	0.026015
51	14.9799	0.0258573
52	14.9825	0.0254832
53	14.9863	0.0252937
54	14.9808	0.0254282
55	14.9808	0.0249659
56	14.9829	0.0246086
57	14.9827	0.0241773
58	14.9817	0.0237803
59	14.9809	0.0233915
60	14.9763	0.0234486
61	14.9773	0.0230836
62	14.9787	0.0227562
63	14.977	0.0224565
64	14.9757	0.0221459
65	14.9757	0.0218052
66	14.9756	0.0214752
67	14.971	0.0216296
68	14.9686	0.0214473
69	14.9711	0.0212874
70	14.9725	0.0210295
71	14.9742	0.0207966
72	14.9707	0.0207957
73	14.9749	0.0209365
74	14.9767	0.0207326
75	14.9796	0.020651
76	14.9786	0.0204024
77	14.9802	0.0201974
78	14.9778	0.0200835
79	14.9785	0.0198428
80	14.9743	0.0200443
81	14.9744	0.0197975
82	14.9727	0.0196286
83	14.9746	0.0194806
84	14.9768	0.0193779
85	14.9763	0.0191563
86	14.9758	0.0189401
87	14.9734	0.0188819
88	14.9728	0.0186758
89	14.9723	0.018473
90	14.9744	0.0183873
91	14.9768	0.0183389
92	14.9752	0.0182112
93	14.9776	0.0181843
94	14.9805	0.0182167
95	14.9782	0.0181672
96	14.9793	0.0180077
97	14.9806	0.0178684
98	14.9798	0.0177005
99	14.9807	0.0175402
100	14.9806	0.0173648
