#BLOCK	#AVG	SIGMA
1	5.60775	0
2	5.54384	0.0451846
3	5.54349	0.0301244
4	5.52094	0.0298686
5	5.50588	0.027427
6	5.49704	0.0242394
7	5.51524	0.026751
8	5.51141	0.0236799
9	5.50642	0.0215687
10	5.4884	0.0258613
11	5.48994	0.0235561
12	5.48108	0.0232018
13	5.47355	0.0226064
14	5.4754	0.0210676
15	5.47425	0.0196943
16	5.47401	0.0184649
17	5.471	0.0176227
18	5.47522	0.0171422
19	5.4656	0.0187498
20	5.47069	0.01849
21	5.46302	0.0191316
22	5.46202	0.0182885
23	5.46357	0.0175594
24	5.46345	0.0168281
25	5.46386	0.01616
26	5.46914	0.0163782
27	5.46203	0.0172484
28	5.46378	0.0167215
29	5.45794	0.0171353
30	5.45625	0.0166469
31	5.4556	0.0161226
32	5.44988	0.0166035
33	5.45229	0.0162742
34	5.45353	0.0158432
35	5.45225	0.0154422
36	5.45858	0.0162592
37	5.45993	0.0158755
38	5.46058	0.015471
39	5.46233	0.0151731
40	5.46137	0.0148244
41	5.4595	0.0145795
42	5.45858	0.0142616
43	5.45867	0.0139303
44	5.45485	0.0141283
45	5.45796	0.0141514
46	5.45809	0.0138444
47	5.45332	0.0143493
48	5.45302	0.0140534
49	5.45482	0.0138807
50	5.45565	0.0136281
51	5.45846	0.0136476
52	5.45858	0.0133857
53	5.46068	0.0132973
54	5.46098	0.0130545
55	5.4625	0.0129047
56	5.4619	0.0126882
57	5.46326	0.0125384
58	5.46444	0.0123778
59	5.46279	0.012278
60	5.46217	0.012089
61	5.46175	0.011898
62	5.46124	0.0117168
63	5.46163	0.0115374
64	5.4631	0.0114502
65	5.46224	0.0113063
66	5.46471	0.0114008
67	5.46503	0.011235
68	5.46623	0.0111344
69	5.46702	0.0110012
70	5.46984	0.0111976
71	5.46971	0.0110406
72	5.46738	0.0111302
73	5.46931	0.0111434
74	5.47133	0.0111752
75	5.46924	0.0112209
76	5.46839	0.0111054
77	5.46963	0.0110305
78	5.46854	0.0109434
79	5.46874	0.0108068
80	5.47101	0.0109065
81	5.47131	0.010776
82	5.46992	0.0107332
83	5.4706	0.0106255
84	5.47008	0.0105119
85	5.47015	0.0103885
86	5.47033	0.0102693
87	5.47101	0.0101737
88	5.46978	0.0101323
89	5.46793	0.0101858
90	5.46902	0.0101301
91	5.47002	0.0100685
92	5.47031	0.00996334
93	5.46904	0.00993748
94	5.4681	0.00987612
95	5.46941	0.00985926
96	5.46855	0.00979442
97	5.46771	0.00972923
98	5.46802	0.00963501
99	5.46658	0.00964562
100	5.46539	0.00962226
