#BLOCK	#AVG	SIGMA
1	5.44137	0
2	5.53536	0.0664568
3	5.49764	0.0539585
4	5.53331	0.0509153
5	5.47436	0.0666274
6	5.46189	0.0566785
7	5.4706	0.0492459
8	5.46716	0.0432097
9	5.46477	0.0384751
10	5.4504	0.0372131
11	5.45771	0.0345405
12	5.46787	0.0331216
13	5.46385	0.0308158
14	5.46262	0.0286394
15	5.46175	0.0267432
16	5.46236	0.0250785
17	5.46116	0.0236317
18	5.45836	0.0224845
19	5.46275	0.0217248
20	5.46256	0.0206394
21	5.46327	0.0196688
22	5.46194	0.0188197
23	5.45752	0.0185133
24	5.45939	0.0178361
25	5.45673	0.0173189
26	5.45983	0.0169277
27	5.46002	0.0163018
28	5.46044	0.0157249
29	5.46017	0.015185
30	5.45157	0.0169393
31	5.44879	0.0166189
32	5.4476	0.0161421
33	5.44989	0.0158143
34	5.44876	0.0153897
35	5.45397	0.0158059
36	5.45413	0.0153677
37	5.45488	0.0149706
38	5.45865	0.0150447
39	5.45585	0.0149176
40	5.45849	0.0147752
41	5.45644	0.014556
42	5.45492	0.0142885
43	5.45511	0.0139575
44	5.45148	0.0141041
45	5.45209	0.013804
46	5.45393	0.0136254
47	5.45324	0.0133527
48	5.45441	0.0131252
49	5.45599	0.0129527
50	5.4504	0.013847
51	5.44962	0.0135979
52	5.44744	0.0135086
53	5.44933	0.0133842
54	5.45161	0.0133302
55	5.4537	0.0132501
56	5.45117	0.013253
57	5.45255	0.0130926
58	5.45333	0.01289
59	5.45472	0.0127459
60	5.45505	0.0125377
61	5.45449	0.0123447
62	5.45528	0.0121712
63	5.45543	0.011979
64	5.4553	0.0117925
65	5.45752	0.0118176
66	5.45731	0.0116403
67	5.45684	0.0114759
68	5.45608	0.0113326
69	5.45793	0.0113186
70	5.4582	0.0111601
71	5.45948	0.0110754
72	5.45916	0.0109262
73	5.45792	0.0108461
74	5.45742	0.0107109
75	5.45717	0.0105711
76	5.45816	0.0104779
77	5.45825	0.0103423
78	5.45699	0.0102856
79	5.45837	0.0102476
80	5.45795	0.0101282
81	5.4573	0.010024
82	5.45955	0.0101517
83	5.45942	0.0100302
84	5.45971	0.00991513
85	5.46143	0.00994629
86	5.46109	0.00983656
87	5.46267	0.00985041
88	5.46244	0.0097412
89	5.46245	0.00963175
90	5.46141	0.00958109
91	5.46131	0.00947636
92	5.46224	0.00941947
93	5.46119	0.00937648
94	5.45984	0.00937349
95	5.45914	0.00930079
96	5.45924	0.00920435
97	5.45908	0.00911083
98	5.45908	0.00901787
99	5.45984	0.0089589
100	5.45924	0.0088895
