SA_step,Energy,Energy_Error,Mu,Sigma
0,1.48742,0.193227,1,1
1,1.48742,0.193227,1,1
2,-0.29696,0.0300835,0.325778,1
3,-0.29696,0.0300835,0.325778,1
4,0.0573921,0.010892,0.0459286,0.70091
5,-0.384845,0.037199,0.789554,0.70091
6,-0.384845,0.037199,0.789554,0.70091
7,-0.384845,0.037199,0.789554,0.70091
8,1.49627,0.158471,1.13355,0.278681
9,1.62479,0.177891,0.945407,0.278681
10,0.251086,0.0272327,0.397661,0.427034
11,-0.375926,0.0362337,0.719526,0.523822
12,-0.375926,0.0362337,0.719526,0.523822
13,-0.375926,0.0362337,0.719526,0.523822
14,0.545448,0.0554852,0.204611,0.523822
15,0.609996,0.0875821,0.592839,0.326567
16,-0.239908,0.0240139,0.533315,0.637358
17,-0.387004,0.0370945,0.704777,0.637358
18,-0.387004,0.0370945,0.704777,0.637358
19,-0.366482,0.0351816,0.891792,0.637358
20,-0.366482,0.0351816,0.891792,0.637358
21,-0.366482,0.0351816,0.891792,0.637358
22,-0.093068,0.0258169,0.120895,1.186
23,-0.093068,0.0258169,0.120895,1.186
24,-0.093068,0.0258169,0.120895,1.186
25,-0.093068,0.0258169,0.120895,1.186
26,0.178665,0.0307033,0.0417243,0.663739
27,-0.103348,0.0146179,1.07372,0.663739
28,-0.103348,0.0146179,1.07372,0.663739
29,-0.103348,0.0146179,1.07372,0.663739
30,-0.103348,0.0146179,1.07372,0.663739
31,-0.103348,0.0146179,1.07372,0.663739
32,-0.342628,0.0330273,0.957514,0.60205
33,0.378582,0.0539674,0.638169,1.18277
34,0.378582,0.0539674,0.638169,1.18277
35,0.220622,0.0372063,1.06549,0.83228
36,0.354454,0.0345411,1.06549,0.416723
37,0.354454,0.0345411,1.06549,0.416723
38,-0.0462225,0.0277427,0.529362,0.416723
39,0.304877,0.0349458,1.08815,0.416723
40,-0.155709,0.0186861,0.240318,0.83674
41,-0.155709,0.0186861,0.240318,0.83674
42,0.0679156,0.0232104,0.975243,0.442955
43,0.0679156,0.0232104,0.975243,0.442955
44,-0.273171,0.0305226,0.975243,0.758152
