Block,Average_Energy,Energy_Error
1,-0.49112,0
2,-0.492018,0.173955
3,-0.487017,0.13257
4,-0.465463,0.101219
5,-0.46286,0.0830817
6,-0.453305,0.0692562
7,-0.435331,0.0581354
8,-0.434763,0.0512599
9,-0.430452,0.0454491
10,-0.424832,0.0406289
11,-0.428285,0.0374021
12,-0.434234,0.0349147
13,-0.437216,0.0325493
14,-0.436501,0.030249
15,-0.437582,0.0283615
16,-0.439092,0.0267304
17,-0.440506,0.0252804
18,-0.440103,0.023888
19,-0.441201,0.0227164
20,-0.44444,0.0217733
21,-0.44624,0.0208438
22,-0.444392,0.0198362
23,-0.443828,0.0189655
24,-0.443413,0.018172
25,-0.444178,0.0174873
26,-0.445637,0.0168823
27,-0.44848,0.0163779
28,-0.448305,0.015795
29,-0.44756,0.0152331
30,-0.447652,0.0147348
31,-0.446903,0.0142423
32,-0.447259,0.0138136
33,-0.448519,0.013439
34,-0.448795,0.0130561
35,-0.449734,0.0127144
36,-0.447641,0.0123126
37,-0.446133,0.0119455
38,-0.44771,0.0116775
39,-0.447385,0.0113727
40,-0.446762,0.0110759
