SA_step,Mu,Sigma
0,1,1
1,1,1
2,0.325778,1
3,0.325778,1
4,0.0459286,0.70091
5,0.789554,0.70091
6,0.789554,0.70091
7,0.789554,0.70091
8,1.13355,0.278681
9,0.945407,0.278681
10,0.397661,0.427034
11,0.719526,0.523822
12,0.719526,0.523822
13,0.719526,0.523822
14,0.204611,0.523822
15,0.592839,0.326567
16,0.533315,0.637358
17,0.704777,0.637358
18,0.704777,0.637358
19,0.891792,0.637358
20,0.891792,0.637358
21,0.891792,0.637358
22,0.120895,1.186
23,0.120895,1.186
24,0.120895,1.186
25,0.120895,1.186
26,0.0417243,0.663739
27,1.07372,0.663739
28,1.07372,0.663739
29,1.07372,0.663739
30,1.07372,0.663739
31,1.07372,0.663739
32,0.957514,0.60205
33,0.638169,1.18277
34,0.638169,1.18277
35,1.06549,0.83228
36,1.06549,0.416723
37,1.06549,0.416723
38,0.529362,0.416723
39,1.08815,0.416723
40,0.240318,0.83674
41,0.240318,0.83674
42,0.975243,0.442955
43,0.975243,0.442955
44,0.975243,0.758152
45,0.975243,0.726104
46,0.91328,0.726104
47,0.91328,0.726104
48,0.91328,0.726104
49,0.519439,0.726104
50,0.243684,0.726104
51,0.0891327,0.726104
52,0.479626,0.382457
53,0.479626,0.382457
54,0.0403337,1.11254
55,0.804062,0.736473
56,0.804062,0.736473
57,0.804062,0.736473
58,0.804062,0.736473
59,0.804062,0.736473
60,0.00123163,1.28399
61,0.00123163,1.28399
62,0.153306,1.46665
63,0.153306,1.46665
64,0.153306,1.46665
65,0.153306,1.46665
66,0.447505,1.34944
67,0.447505,1.34944
68,0.447505,1.34944
69,0.447505,1.34944
70,0.447505,1.34944
71,0.447505,1.34944
72,0.185479,1.34083
73,0.185479,1.34083
74,0.185479,1.34083
75,0.447421,0.978432
76,0.140604,0.682463
77,0.140604,0.682463
78,0.0412604,0.682463
79,0.268496,0.981898
80,0.510055,0.785458
81,0.510055,0.785458
82,0.510055,0.785458
83,0.510055,0.785458
84,0.510055,0.785458
85,0.793233,0.638325
86,0.793233,0.638325
87,0.793233,0.638325
88,0.793233,0.638325
89,0.793233,0.638325
90,0.793233,0.638325
91,0.793233,0.638325
92,0.793233,0.638325
93,0.793233,0.638325
94,0.547194,0.543672
95,0.547194,0.543672
96,0.542678,0.419369
97,0.42923,0.46478
98,0.42923,0.46478
99,0.395538,0.627577
100,0.395538,0.627577
101,0.395538,0.627577
102,0.436824,0.473688
103,0.0381577,0.875647
104,0.0381577,0.875647
105,0.0381577,0.875647
106,0.0381577,0.875647
107,0.0381577,0.875647
108,0.0381577,0.875647
109,0.353977,0.990195
110,0.353977,0.990195
111,0.353977,0.990195
112,0.353977,0.990195
113,0.399241,0.864133
114,0.399241,0.864133
115,0.399241,0.864133
116,0.399241,0.864133
117,0.399241,0.864133
118,0.399241,0.864133
119,0.399241,0.864133
120,0.138054,0.76124
121,0.0204539,0.985811
122,0.294017,0.918539
123,0.294017,0.918539
124,0.574215,0.59157
125,0.574215,0.59157
126,0.607684,0.684891
127,0.658506,0.699538
128,0.618185,0.690325
129,0.618185,0.690325
130,0.70083,0.703234
131,0.759243,0.702574
132,0.759243,0.702574
133,0.759243,0.702574
134,0.759243,0.702574
135,0.759243,0.702574
136,0.759243,0.702574
137,0.759243,0.702574
138,0.882134,0.614917
139,0.882134,0.614917
140,0.584312,0.593377
141,0.584312,0.593377
142,0.584312,0.593377
143,0.584312,0.593377
144,0.584312,0.593377
145,0.586329,0.662268
146,0.586329,0.662268
147,0.616449,0.630877
148,0.762679,0.794316
149,0.762679,0.794316
150,0.762679,0.794316
151,0.707105,1.02595
152,0.707105,1.02595
153,0.52045,0.831273
154,0.611364,0.629771
155,0.611364,0.629771
156,0.611364,0.629771
157,0.824093,0.75354
158,0.880806,0.546823
159,0.916524,0.669875
160,0.916524,0.669875
161,0.82315,0.613701
162,0.82315,0.613701
163,0.82315,0.613701
164,0.64935,0.576736
165,0.738927,0.536207
166,0.738927,0.536207
167,0.738927,0.536207
168,0.738927,0.536207
169,0.738927,0.536207
170,0.702119,0.617857
171,0.702119,0.617857
172,0.702119,0.617857
173,0.752505,0.596099
174,0.752505,0.596099
175,0.749844,0.641972
176,0.755451,0.569216
177,0.755451,0.569216
178,0.755451,0.569216
179,0.755451,0.569216
180,0.755451,0.569216
181,0.755451,0.569216
182,0.76833,0.623785
183,0.76833,0.623785
184,0.76833,0.623785
185,0.76833,0.623785
186,0.76833,0.623785
187,0.76833,0.623785
188,0.858233,0.609694
189,0.858233,0.609694
190,0.858233,0.609694
191,0.858233,0.609694
192,0.795467,0.545529
193,0.795467,0.545529
194,0.795467,0.545529
195,0.795467,0.545529
196,0.703559,0.644383
197,0.703559,0.644383
198,0.703559,0.644383
199,0.703559,0.644383
200,0.704807,0.768872
201,0.793552,0.644654
202,0.793552,0.644654
203,0.793552,0.644654
204,0.781571,0.666524
205,0.781571,0.666524
206,0.790701,0.641436
207,0.790701,0.641436
208,0.790701,0.641436
209,0.790701,0.641436
210,0.790701,0.641436
211,0.816713,0.547458
212,0.816713,0.547458
213,0.816713,0.547458
214,0.816713,0.547458
215,0.816713,0.547458
216,0.816713,0.547458
217,0.832605,0.672116
218,0.832605,0.672116
219,0.832605,0.672116
220,0.832605,0.672116
221,0.801461,0.585814
222,0.801461,0.585814
223,0.801461,0.585814
224,0.801461,0.585814
225,0.801461,0.585814
226,0.801461,0.585814
227,0.801461,0.585814
228,0.801461,0.585814
229,0.873717,0.570465
230,0.873717,0.570465
231,0.873717,0.570465
232,0.84001,0.588935
233,0.84001,0.588935
234,0.84001,0.588935
235,0.84001,0.588935
236,0.850888,0.617671
237,0.850888,0.617671
238,0.850888,0.617671
239,0.850888,0.617671
240,0.928568,0.604416
241,0.928568,0.604416
242,0.928568,0.604416
243,0.90406,0.599344
244,0.816027,0.579194
245,0.816027,0.579194
246,0.812961,0.632748
247,0.716833,0.590566
248,0.716833,0.590566
249,0.716833,0.590566
250,0.716833,0.590566
251,0.716833,0.590566
252,0.716833,0.590566
253,0.716833,0.590566
254,0.798062,0.568371
255,0.794216,0.644748
256,0.794216,0.644748
257,0.794216,0.644748
258,0.794216,0.644748
259,0.794216,0.644748
260,0.794216,0.644748
261,0.794216,0.644748
262,0.794216,0.644748
263,0.794216,0.644748
264,0.794216,0.644748
265,0.794216,0.644748
266,0.787234,0.652461
267,0.787234,0.652461
268,0.787234,0.652461
269,0.791957,0.63571
270,0.778601,0.627109
271,0.778601,0.627109
272,0.778601,0.627109
273,0.826529,0.632525
274,0.774481,0.635772
275,0.774481,0.635772
276,0.774481,0.635772
277,0.774481,0.635772
278,0.774481,0.635772
279,0.774481,0.635772
280,0.774481,0.635772
281,0.774481,0.635772
282,0.774481,0.635772
283,0.774481,0.635772
284,0.774481,0.635772
285,0.774481,0.635772
286,0.774481,0.635772
287,0.774481,0.635772
288,0.774481,0.635772
289,0.774481,0.635772
290,0.774481,0.635772
291,0.774481,0.635772
292,0.774481,0.635772
293,0.774481,0.635772
294,0.774481,0.635772
295,0.774481,0.635772
296,0.774481,0.635772
297,0.774481,0.635772
298,0.774481,0.635772
299,0.774481,0.635772
300,0.774481,0.635772
301,0.774481,0.635772
302,0.774481,0.635772
303,0.774481,0.635772
304,0.774481,0.635772
305,0.774481,0.635772
306,0.774481,0.635772
307,0.774481,0.635772
308,0.774481,0.635772
309,0.774481,0.635772
310,0.774481,0.635772
311,0.774481,0.635772
312,0.774481,0.635772
313,0.774481,0.635772
314,0.774481,0.635772
315,0.774481,0.635772
316,0.774481,0.635772
317,0.774481,0.635772
318,0.774481,0.635772
319,0.774481,0.635772
320,0.774481,0.635772
321,0.774481,0.635772
322,0.774481,0.635772
323,0.774481,0.635772
324,0.774481,0.635772
325,0.774481,0.635772
326,0.774481,0.635772
327,0.774481,0.635772
328,0.774481,0.635772
329,0.774481,0.635772
330,0.774481,0.635772
331,0.774481,0.635772
332,0.774481,0.635772
333,0.774481,0.635772
334,0.774481,0.635772
335,0.774481,0.635772
336,0.774481,0.635772
337,0.774481,0.635772
338,0.774481,0.635772
339,0.774481,0.635772
340,0.774481,0.635772
341,0.774481,0.635772
342,0.774481,0.635772
343,0.774481,0.635772
344,0.774481,0.635772
345,0.774481,0.635772
346,0.774481,0.635772
347,0.774481,0.635772
348,0.774481,0.635772
349,0.774481,0.635772
350,0.774481,0.635772
351,0.774481,0.635772
352,0.774481,0.635772
353,0.774481,0.635772
354,0.774481,0.635772
355,0.774481,0.635772
356,0.774481,0.635772
357,0.774481,0.635772
358,0.774481,0.635772
359,0.774481,0.635772
360,0.774481,0.635772
361,0.774481,0.635772
362,0.774481,0.635772
363,0.774481,0.635772
364,0.774481,0.635772
365,0.774481,0.635772
366,0.774481,0.635772
367,0.774481,0.635772
368,0.774481,0.635772
369,0.774481,0.635772
370,0.774481,0.635772
371,0.774481,0.635772
372,0.774481,0.635772
373,0.774481,0.635772
374,0.774481,0.635772
375,0.774481,0.635772
376,0.789951,0.641416
377,0.789951,0.641416
378,0.789951,0.641416
379,0.789951,0.641416
380,0.789951,0.641416
381,0.789951,0.641416
382,0.789951,0.641416
383,0.789951,0.641416
384,0.789951,0.641416
385,0.789951,0.641416
386,0.789951,0.641416
387,0.789951,0.641416
388,0.789951,0.641416
389,0.789951,0.641416
390,0.789951,0.641416
391,0.789951,0.641416
392,0.789951,0.641416
393,0.789951,0.641416
394,0.789951,0.641416
395,0.789951,0.641416
396,0.789951,0.641416
397,0.789951,0.641416
398,0.789951,0.641416
399,0.789951,0.641416
400,0.789951,0.641416
401,0.789951,0.641416
402,0.789951,0.641416
403,0.789951,0.641416
404,0.789951,0.641416
405,0.789951,0.641416
406,0.789951,0.641416
407,0.789951,0.641416
408,0.789951,0.641416
409,0.789951,0.641416
410,0.789951,0.641416
411,0.789951,0.641416
412,0.787932,0.627924
413,0.787932,0.627924
414,0.787932,0.627924
415,0.787932,0.627924
416,0.787932,0.627924
417,0.787932,0.627924
418,0.787932,0.627924
419,0.787932,0.627924
420,0.787932,0.627924
421,0.787932,0.627924
422,0.787932,0.627924
423,0.787932,0.627924
424,0.787932,0.627924
425,0.787932,0.627924
426,0.787932,0.627924
427,0.787932,0.627924
428,0.787932,0.627924
429,0.787932,0.627924
430,0.787932,0.627924
431,0.787932,0.627924
432,0.787932,0.627924
433,0.787932,0.627924
434,0.787932,0.627924
435,0.787932,0.627924
436,0.787932,0.627924
437,0.787932,0.627924
438,0.787932,0.627924
439,0.787932,0.627924
440,0.787932,0.627924
441,0.787932,0.627924
442,0.787932,0.627924
443,0.787932,0.627924
444,0.787932,0.627924
445,0.787932,0.627924
446,0.787932,0.627924
447,0.787932,0.627924
448,0.787932,0.627924
449,0.787932,0.627924
450,0.787932,0.627924
451,0.787932,0.627924
452,0.787932,0.627924
453,0.787932,0.627924
454,0.787932,0.627924
455,0.787932,0.627924
456,0.787932,0.627924
457,0.787932,0.627924
458,0.787932,0.627924
459,0.787932,0.627924
460,0.787932,0.627924
461,0.787932,0.627924
462,0.787932,0.627924
463,0.787932,0.627924
464,0.787932,0.627924
465,0.787932,0.627924
466,0.787932,0.627924
467,0.787932,0.627924
468,0.787932,0.627924
469,0.787932,0.627924
470,0.787932,0.627924
471,0.787932,0.627924
472,0.787932,0.627924
473,0.787932,0.627924
474,0.787932,0.627924
475,0.787932,0.627924
476,0.787932,0.627924
477,0.787932,0.627924
478,0.787932,0.627924
479,0.787932,0.627924
480,0.787932,0.627924
481,0.787932,0.627924
482,0.787932,0.627924
483,0.787932,0.627924
484,0.787932,0.627924
485,0.787932,0.627924
486,0.787932,0.627924
487,0.787932,0.627924
488,0.787932,0.627924
489,0.787932,0.627924
490,0.787932,0.627924
491,0.787932,0.627924
492,0.787932,0.627924
493,0.787932,0.627924
494,0.787932,0.627924
495,0.787932,0.627924
496,0.787932,0.627924
497,0.787932,0.627924
498,0.787932,0.627924
499,0.787932,0.627924
500,0.787932,0.627924
501,0.787932,0.627924
502,0.787932,0.627924
503,0.787932,0.627924
504,0.787932,0.627924
505,0.787932,0.627924
506,0.787932,0.627924
507,0.787932,0.627924
508,0.787932,0.627924
509,0.787932,0.627924
510,0.787932,0.627924
511,0.792368,0.625481
512,0.792368,0.625481
513,0.792368,0.625481
514,0.792368,0.625481
515,0.792368,0.625481
516,0.792368,0.625481
517,0.792368,0.625481
518,0.792368,0.625481
519,0.792368,0.625481
520,0.792368,0.625481
521,0.792368,0.625481
522,0.792368,0.625481
523,0.792368,0.625481
524,0.792368,0.625481
525,0.792368,0.625481
526,0.792368,0.625481
527,0.792368,0.625481
528,0.792368,0.625481
529,0.792368,0.625481
530,0.792368,0.625481
531,0.792368,0.625481
532,0.792368,0.625481
533,0.792368,0.625481
534,0.792368,0.625481
535,0.792368,0.625481
536,0.792368,0.625481
537,0.792368,0.625481
538,0.792368,0.625481
539,0.791667,0.622152
540,0.791667,0.622152
541,0.791667,0.622152
542,0.791667,0.622152
543,0.791667,0.622152
544,0.791667,0.622152
545,0.791667,0.622152
546,0.791667,0.622152
547,0.791667,0.622152
548,0.791667,0.622152
549,0.791667,0.622152
550,0.791667,0.622152
551,0.791667,0.622152
552,0.791667,0.622152
553,0.791667,0.622152
554,0.791667,0.622152
555,0.791667,0.622152
556,0.791667,0.622152
557,0.791667,0.622152
558,0.791667,0.622152
559,0.791667,0.622152
560,0.791667,0.622152
561,0.791667,0.622152
562,0.791667,0.622152
563,0.791667,0.622152
564,0.791667,0.622152
565,0.791667,0.622152
566,0.791667,0.622152
567,0.791667,0.622152
568,0.791667,0.622152
569,0.791667,0.622152
570,0.791667,0.622152
571,0.791667,0.622152
572,0.791667,0.622152
573,0.791667,0.622152
574,0.791667,0.622152
575,0.791667,0.622152
576,0.791667,0.622152
577,0.791667,0.622152
578,0.791667,0.622152
579,0.791667,0.622152
580,0.791667,0.622152
581,0.791667,0.622152
582,0.791667,0.622152
583,0.791667,0.622152
584,0.791667,0.622152
585,0.791667,0.622152
586,0.791667,0.622152
587,0.791667,0.622152
588,0.791667,0.622152
589,0.791667,0.622152
590,0.791667,0.622152
591,0.791667,0.622152
592,0.791667,0.622152
593,0.791667,0.622152
594,0.791667,0.622152
595,0.791667,0.622152
596,0.791667,0.622152
597,0.791667,0.622152
598,0.791667,0.622152
599,0.791667,0.622152
600,0.791667,0.622152
601,0.791667,0.622152
602,0.791667,0.622152
603,0.791667,0.622152
604,0.791667,0.622152
605,0.791667,0.622152
606,0.791667,0.622152
607,0.79116,0.62231
608,0.79116,0.62231
609,0.79116,0.62231
610,0.79116,0.62231
611,0.79116,0.62231
612,0.79116,0.62231
613,0.79116,0.62231
614,0.79116,0.62231
615,0.79116,0.62231
616,0.79116,0.62231
617,0.79116,0.62231
618,0.79116,0.62231
619,0.79116,0.62231
620,0.79116,0.62231
621,0.79116,0.62231
622,0.79116,0.62231
623,0.79116,0.62231
624,0.79116,0.62231
625,0.79116,0.62231
626,0.79116,0.62231
627,0.79116,0.62231
628,0.79116,0.62231
629,0.79116,0.62231
630,0.79116,0.62231
631,0.79116,0.62231
632,0.79116,0.62231
633,0.79116,0.62231
634,0.79116,0.62231
635,0.79116,0.62231
636,0.79116,0.62231
637,0.79116,0.62231
638,0.79116,0.62231
639,0.79116,0.62231
640,0.79116,0.62231
641,0.79116,0.62231
642,0.79116,0.62231
643,0.79116,0.62231
644,0.79116,0.62231
645,0.79116,0.62231
646,0.79116,0.62231
647,0.79116,0.62231
648,0.79116,0.62231
649,0.79116,0.62231
650,0.79116,0.62231
651,0.79116,0.62231
652,0.79116,0.62231
653,0.79116,0.62231
654,0.79116,0.62231
655,0.79116,0.62231
656,0.79116,0.62231
657,0.79116,0.62231
658,0.79116,0.62231
659,0.79116,0.62231
660,0.79116,0.62231
661,0.79116,0.62231
662,0.79116,0.62231
663,0.79116,0.62231
664,0.79116,0.62231
665,0.79116,0.62231
666,0.79116,0.62231
667,0.79116,0.62231
668,0.79116,0.62231
669,0.79116,0.62231
670,0.79116,0.62231
671,0.79116,0.62231
672,0.79116,0.62231
673,0.79116,0.62231
674,0.79116,0.62231
675,0.79116,0.62231
676,0.79116,0.62231
677,0.79116,0.62231
678,0.79116,0.62231
679,0.79116,0.62231
680,0.79116,0.62231
681,0.79116,0.62231
682,0.79116,0.62231
683,0.79116,0.62231
684,0.79116,0.62231
685,0.79116,0.62231
686,0.79116,0.62231
687,0.79116,0.62231
688,0.79116,0.62231
689,0.79116,0.62231
690,0.79116,0.62231
691,0.79116,0.62231
692,0.79116,0.62231
693,0.79116,0.62231
694,0.79116,0.62231
695,0.79116,0.62231
696,0.79116,0.62231
697,0.79116,0.62231
698,0.79116,0.62231
699,0.79116,0.62231
700,0.79116,0.62231
701,0.79116,0.62231
702,0.79116,0.62231
703,0.79116,0.62231
704,0.79116,0.62231
705,0.79116,0.62231
706,0.79116,0.62231
707,0.79116,0.62231
708,0.79116,0.62231
709,0.79116,0.62231
