x_bin,Count
-4.9875,0
-4.9625,0
-4.9375,0
-4.9125,0
-4.8875,0
-4.8625,0
-4.8375,0
-4.8125,0
-4.7875,0
-4.7625,0
-4.7375,0
-4.7125,0
-4.6875,0
-4.6625,0
-4.6375,0
-4.6125,0
-4.5875,0
-4.5625,0
-4.5375,0
-4.5125,0
-4.4875,0
-4.4625,0
-4.4375,0
-4.4125,0
-4.3875,0
-4.3625,0
-4.3375,0
-4.3125,0
-4.2875,0
-4.2625,0
-4.2375,0
-4.2125,0
-4.1875,0
-4.1625,0
-4.1375,0
-4.1125,0
-4.0875,0
-4.0625,0
-4.0375,0
-4.0125,0
-3.9875,0
-3.9625,0
-3.9375,0
-3.9125,0
-3.8875,0
-3.8625,0
-3.8375,0
-3.8125,0
-3.7875,0
-3.7625,0
-3.7375,0
-3.7125,0
-3.6875,0
-3.6625,0
-3.6375,0
-3.6125,0
-3.5875,0
-3.5625,0
-3.5375,0
-3.5125,0
-3.4875,0
-3.4625,0
-3.4375,0
-3.4125,0
-3.3875,0
-3.3625,0
-3.3375,0
-3.3125,0
-3.2875,0
-3.2625,0
-3.2375,0
-3.2125,0
-3.1875,0
-3.1625,0
-3.1375,0
-3.1125,0
-3.0875,0
-3.0625,0
-3.0375,0
-3.0125,0
-2.9875,0
-2.9625,0
-2.9375,2
-2.9125,0
-2.8875,0
-2.8625,0
-2.8375,1
-2.8125,2
-2.7875,0
-2.7625,0
-2.7375,4
-2.7125,5
-2.6875,1
-2.6625,0
-2.6375,6
-2.6125,5
-2.5875,5
-2.5625,4
-2.5375,9
-2.5125,4
-2.4875,18
-2.4625,3
-2.4375,18
-2.4125,20
-2.3875,16
-2.3625,24
-2.3375,29
-2.3125,43
-2.2875,66
-2.2625,76
-2.2375,85
-2.2125,109
-2.1875,128
-2.1625,133
-2.1375,193
-2.1125,243
-2.0875,254
-2.0625,287
-2.0375,345
-2.0125,412
-1.9875,485
-1.9625,606
-1.9375,652
-1.9125,718
-1.8875,828
-1.8625,1046
-1.8375,1168
-1.8125,1245
-1.7875,1548
-1.7625,1621
-1.7375,1835
-1.7125,2092
-1.6875,2366
-1.6625,2727
-1.6375,3022
-1.6125,3329
-1.5875,3610
-1.5625,4197
-1.5375,4522
-1.5125,4897
-1.4875,5678
-1.4625,5828
-1.4375,6497
-1.4125,7213
-1.3875,7601
-1.3625,8216
-1.3375,8988
-1.3125,9481
-1.2875,10254
-1.2625,10921
-1.2375,11292
-1.2125,11846
-1.1875,12649
-1.1625,13190
-1.1375,14031
-1.1125,14779
-1.0875,15523
