#Distance: 5.06807
#Path coordinates: 
# x:	y:
 0.123931	0.886014
 0.109024	0.860902
 0.0206677	0.933733
 0.114596	0.386164
 0.105264	0.273739
 0.0280552	0.24039
 0.0410167	0.0909043
 0.346499	0.0682477
 0.620135	0.109458
 0.939976	0.0352949
 0.973904	0.070006
 0.680892	0.177005
 0.499516	0.309501
 0.509427	0.361629
 0.451947	0.347849
 0.435602	0.521519
 0.393204	0.560754
 0.586489	0.699831
 0.642171	0.655557
 0.676387	0.649004
 0.685146	0.576437
 0.778451	0.580794
 0.764661	0.624478
 0.90185	0.746606
 0.976977	0.775317
 0.7069	0.953038
 0.655533	0.900483
 0.522169	0.987496
 0.426463	0.984869
 0.486001	0.792409
 0.398447	0.76815
 0.231514	0.962802
 0.177922	0.900524
 0.17511	0.875185
